GEO_ID,NAME,totalHHs,hascomputer,dialup,broadband,nointernet,nocomputer,totalpopover16,laborforceparticipationrate,unemploymentrate,popabove20underpovertylevel,hascomputerPerc,dialupPerc,broadbandPerc,nointernetPerc,nocomputerPerc
1400000US26001000100,"Census Tract 1, Alcona County, Michigan",894,751,6,697,48,143,1563,32,7.7,47.9,84.00447427,0.67114094,77.96420582,5.369127517,15.99552573
1400000US26001970100,"Census Tract 9701, Alcona County, Michigan",1117,928,11,795,122,189,2107,40.3,5.9,29.5,83.07967771,0.984780662,71.17278424,10.9221128,16.92032229
1400000US26001970400,"Census Tract 9704, Alcona County, Michigan",1290,976,21,779,176,314,2426,47.8,9.5,41.8,75.65891473,1.627906977,60.3875969,13.64341085,24.34108527
1400000US26001970500,"Census Tract 9705, Alcona County, Michigan",1028,801,24,633,144,227,1804,36.4,10.7,28.8,77.91828794,2.33463035,61.57587549,14.0077821,22.08171206
1400000US26001970600,"Census Tract 9706, Alcona County, Michigan",679,569,5,482,82,110,1319,41.1,11.6,54.3,83.79970545,0.736377025,70.98674521,12.07658321,16.20029455
1400000US26003000100,"Census Tract 1, Alger County, Michigan",1294,1035,5,882,148,259,2988,45,2.5,27,79.98454405,0.386398764,68.16074189,11.4374034,20.01545595
1400000US26003000200,"Census Tract 2, Alger County, Michigan",1032,856,28,752,76,176,2375,54,10.6,58.3,82.94573643,2.713178295,72.86821705,7.364341085,17.05426357
1400000US26003000300,"Census Tract 3, Alger County, Michigan",768,631,12,538,81,137,2590,27.1,7,33.3,82.16145833,1.5625,70.05208333,10.546875,17.83854167
1400000US26005030200,"Census Tract 302, Allegan County, Michigan",1253,1230,22,1166,42,23,2536,63.5,1.2,29.2,98.16440543,1.755786113,93.05666401,3.351955307,1.835594573
1400000US26005030300,"Census Tract 303, Allegan County, Michigan",2685,2305,20,2042,243,380,5778,71.3,1.3,24.1,85.84729981,0.744878957,76.05214153,9.05027933,14.15270019
1400000US26005030401,"Census Tract 304.01, Allegan County, Michigan",2605,2340,0,2225,115,265,5889,74.7,2.6,52.4,89.82725528,0,85.41266795,4.414587332,10.17274472
1400000US26005030402,"Census Tract 304.02, Allegan County, Michigan",1779,1662,16,1599,47,117,3816,70.6,3.9,81.5,93.4232715,0.899381675,89.88195616,2.641933671,6.576728499
1400000US26005030500,"Census Tract 305, Allegan County, Michigan",2803,2265,10,2020,235,538,5800,62.7,2.6,32.4,80.80627899,0.356760614,72.06564395,8.38387442,19.19372101
1400000US26005030600,"Census Tract 306, Allegan County, Michigan",1798,1540,2,1264,274,258,3871,65.6,3.8,53,85.65072303,0.111234705,70.3003337,15.23915462,14.34927697
1400000US26005030702,"Census Tract 307.02, Allegan County, Michigan",1754,1550,6,1347,197,204,3946,66.2,1.7,48.4,88.36944128,0.342075257,76.7958951,11.23147092,11.63055872
1400000US26005030703,"Census Tract 307.03, Allegan County, Michigan",1074,748,3,653,92,326,2301,63.3,4,46.4,69.6461825,0.279329609,60.80074488,8.566108007,30.3538175
1400000US26005030704,"Census Tract 307.04, Allegan County, Michigan",1750,1524,14,1288,222,226,3774,66.9,4.5,39,87.08571429,0.8,73.6,12.68571429,12.91428571
1400000US26005030800,"Census Tract 308, Allegan County, Michigan",2242,1879,7,1763,109,363,4200,58.5,2,46.9,83.80909902,0.312221231,78.63514719,4.861730598,16.19090098
1400000US26005030901,"Census Tract 309.01, Allegan County, Michigan",1213,1013,12,860,141,200,2576,50.6,4.2,20.8,83.51195383,0.98928277,70.89859852,11.62407255,16.48804617
1400000US26005030902,"Census Tract 309.02, Allegan County, Michigan",1110,975,20,826,129,135,2214,54.2,4.4,26.8,87.83783784,1.801801802,74.41441441,11.62162162,12.16216216
1400000US26005031000,"Census Tract 310, Allegan County, Michigan",2168,1627,0,1347,280,541,4768,55.4,10,49.5,75.04612546,0,62.13099631,12.91512915,24.95387454
1400000US26005031100,"Census Tract 311, Allegan County, Michigan",2729,2011,66,1764,181,718,5435,57.2,2.7,40.1,73.68999634,2.418468303,64.63906193,6.632466105,26.31000366
1400000US26005031200,"Census Tract 312, Allegan County, Michigan",1856,1551,0,1363,188,305,4313,53,2.8,31.6,83.56681034,0,73.4375,10.12931034,16.43318966
1400000US26005031300,"Census Tract 313, Allegan County, Michigan",1877,1522,14,1317,191,355,3886,64,3.1,34.4,81.0868407,0.745871071,70.16515717,10.17581247,18.9131593
1400000US26005031800,"Census Tract 318, Allegan County, Michigan",1876,1566,0,1361,205,310,3668,64.7,3,57.5,83.47547974,0,72.54797441,10.92750533,16.52452026
1400000US26005031900,"Census Tract 319, Allegan County, Michigan",1836,1473,11,1341,121,363,4044,60.3,1.8,42.6,80.22875817,0.59912854,73.03921569,6.590413943,19.77124183
1400000US26005032000,"Census Tract 320, Allegan County, Michigan",2064,1807,0,1581,226,257,3983,57.5,2,32.3,87.54844961,0,76.59883721,10.9496124,12.45155039
1400000US26005032100,"Census Tract 321, Allegan County, Michigan",1745,1499,24,1368,107,246,3639,62.7,2.8,43.7,85.9025788,1.375358166,78.39541547,6.131805158,14.0974212
1400000US26005032200,"Census Tract 322, Allegan County, Michigan",2011,1684,9,1511,164,327,4165,54.4,4.5,25.8,83.73943312,0.447538538,75.13674789,8.155146693,16.26056688
1400000US26005032401,"Census Tract 324.01, Allegan County, Michigan",640,546,0,510,36,94,1299,72.9,5,55.8,85.3125,0,79.6875,5.625,14.6875
1400000US26005032402,"Census Tract 324.02, Allegan County, Michigan",1450,1282,10,1170,102,168,3177,72,2.6,61.4,88.4137931,0.689655172,80.68965517,7.034482759,11.5862069
1400000US26005032600,"Census Tract 326, Allegan County, Michigan",682,632,0,588,44,50,1301,60.5,1.9,65.5,92.6686217,0,86.2170088,6.451612903,7.331378299
